sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction,INPUT_fuel_oxidizer_ratio,INPUT_acac_amount,INPUT_concentration,INPUT_anneal_temperature,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
20,0.028167124268744438,0.025800016917828118,0.04793352726435458,0.013611901341446157,0.5876288659793815,2.045202870063065,0.3426058349694802,0.007934997130474577,264.33807373046875,1.9791533080697664e-07,4.1077319072209344e-08,41,False,1.9791533080697664e-07,4.1077319072209344e-08
21,0.0,0.0,0.0,0.0,0.0,1.0612507499486086,0.9354109460914304,0.0106144143328205,184.2558441162109,0.0,0.0,0,True,0.0,1e-07
22,0.055743336142117066,0.07790610117038745,0.10602163932912463,0.07882320546431051,0.5257731958762887,1.4609105510931568,0.9724938223982325,0.0100438315364936,229.1809539794922,3.5358146487792883e-07,1.1061642724837757e-07,38,False,3.5358146487792883e-07,1.1061642724837757e-07
23,0.07835860843388916,0.06358548741160759,0.12667975030145415,0.020372967033628644,0.6185567010309279,1.2924912097175645,0.5190575054092438,0.0072979931651584624,260.71926879882807,5.756606053389547e-07,1.2484870055222626e-07,49,False,5.756606053389547e-07,1.2484870055222626e-07
24,0.06712141192446176,0.07188483208322333,0.12056994364208873,0.053272387475665366,0.5567010309278351,1.1392717958360543,0.5565314889396008,0.009066031787669931,249.66586303710938,3.71426964740186e-07,1.4793432059319975e-07,40,False,3.71426964740186e-07,1.4793432059319975e-07
25,0.06967318559161821,0.3692238088006178,0.17328971800992227,0.5666675398461083,0.4020618556701031,0.28228226148701163,0.3702849645412951,0.010111712739785122,276.82989501953125,1.1889893550815477e-08,1.3158654366249873e-08,15,False,1.1889893550815477e-08,1.3158654366249873e-08
26,0.09087548186985288,0.6993288722473991,0.2448589372604369,1.1313899076464264,0.3711340206185567,0.5385452623092929,0.7093839581678246,0.008811004877949568,223.42251586914062,6.87730788641384e-08,6.530539581912659e-08,28,False,6.87730788641384e-08,6.530539581912659e-08
27,0.001285073335311021,0.0038966767831221673,0.007790757095323066,0.006431900451772068,0.16494845360824742,1.1042245405552302,0.5878509636283928,0.007110480656066259,202.95257568359372,2.465961050480433e-08,1.9490822755725765e-08,16,False,2.465961050480433e-08,1.9490822755725765e-08
28,3.3500619580089045e-05,0.0003109044865684235,0.0016247800496343185,0.0014500374193173807,0.020618556701030927,0.8870463764327371,0.6132464696843766,0.010302175099222606,200.2826995849609,3.356200033414687e-09,4.197923200561675e-09,2,True,0.0,1e-07
29,0.0,0.0,0.0,0.0,0.0,0.40880414015540617,0.6547844717972972,0.008653810734540591,196.3622131347656,0.0,0.0,0,True,0.0,1e-07
30,0.0,0.0,0.0,0.0,0.0,0.5658839751673991,0.5976979124776296,0.007998870749730332,180.230712890625,0.0,0.0,0,True,0.0,1e-07
31,0.06193759865576984,0.06190609501170859,0.12015894139219348,0.02095166851543623,0.5154639175257731,1.451912380356355,0.6652570883974823,0.007288996876849182,239.50978088378903,5.292691790916716e-07,1.0949145213448343e-07,41,False,5.292691790916716e-07,1.0949145213448343e-07
32,0.0,0.0,0.0,0.0,0.0,0.8813357105676817,0.26295630461634073,0.009274368595561,184.1900177001953,0.0,0.0,0,True,0.0,1e-07
33,0.0563297204222687,0.0595655334312293,0.10713691923451107,0.03612382149138721,0.5257731958762887,1.627293173714781,0.41358638140487897,0.00805839882978703,253.5044250488281,3.766281334880889e-07,1.1283695254091806e-07,44,False,3.766281334880889e-07,1.1283695254091806e-07
34,0.0,0.0,0.0,0.0,0.0,1.5501855949379268,0.4005055298252532,0.009221783848839208,193.23020935058597,0.0,0.0,0,True,0.0,1e-07
35,0.081588920715138,0.10760903610604923,0.17204620237757365,0.09410229043450707,0.4742268041237113,0.6886090721575489,0.7560300115816592,0.006270337353172496,257.78732299804693,6.706394984799746e-07,4.1738263542488493e-07,36,False,6.706394984799746e-07,4.1738263542488493e-07
36,0.0,0.0,0.0,0.0,0.0,1.6807514252264495,0.6125256893412833,0.00851548614870474,194.8937225341797,0.0,0.0,0,True,0.0,1e-07
37,0.0030949724879342517,0.011499576726323684,0.017659548901742497,0.022301200513437033,0.17525773195876287,0.11782703800468625,0.3125751417840876,0.007519885187944301,209.07122802734372,1.6977426404221676e-08,1.3419416432935172e-08,13,False,1.6977426404221676e-08,1.3419416432935172e-08
38,0.0,0.0,0.0,0.0,0.0,1.3200234706977432,0.33081203311801394,0.010484636741001136,198.5233612060547,0.0,0.0,0,True,0.0,1e-07
39,0.0,0.0,0.0,0.0,0.0,0.11203988631994627,0.0010899977412876431,0.007732793085879846,194.1928253173828,0.0,0.0,0,True,0.0,1e-07
40,0.1767150233813028,0.1384409138217045,0.2764735043223608,0.04903837203877271,0.6391752577319587,1.2545621478909486,0.03495190951213248,0.009725549995270649,277.34823608398443,7.565838910363841e-07,1.732221104001918e-07,52,False,7.565838910363841e-07,1.732221104001918e-07
41,0.09802863879121193,0.1075106434610442,0.16682066601311507,0.09051995204200873,0.5876288659793815,1.7955439510384226,0.3176776145614641,0.007094101963926964,272.1824951171875,6.407874191080812e-07,1.5918565649306304e-07,49,False,6.407874191080812e-07,1.5918565649306304e-07
42,0.04708088187912142,0.1926755769332786,0.13431898653749347,0.3069112350808922,0.3505154639175257,0.9573939191212372,0.9995438901675068,0.009925548156317349,251.5506591796875,2.813835879134127e-07,1.275039771698367e-07,26,False,2.813835879134127e-07,1.275039771698367e-07
43,0.0,0.0,0.0,0.0,0.0,2.1487509233284503,0.4685736463885721,0.007999353666899234,189.07164001464844,0.0,0.0,0,True,0.0,1e-07
44,0.0310969586850852,0.04212100176677859,0.0793790787487701,0.026386257691147608,0.3917525773195876,1.804398073606566,0.6117851619878648,0.007963646781263163,247.5609130859375,3.361036636043191e-07,8.138713125796851e-08,29,False,3.361036636043191e-07,8.138713125796851e-08
45,0.02323274884023137,0.0356134793259263,0.052408759011684736,0.03649678429377176,0.4432989690721649,1.7972866226143875,0.7596929022647944,0.007699709497735614,247.83984375,1.9737078131858217e-07,1.2923181784954337e-07,39,False,1.9737078131858217e-07,1.2923181784954337e-07
46,0.02125543442243097,0.10427606588333732,0.0644305355929939,0.1737195891818063,0.32989690721649484,0.0952021135996034,0.34281928115691074,0.00834355576216398,217.52264404296875,6.777660192008738e-08,5.3771781525045634e-08,27,False,6.777660192008738e-08,5.3771781525045634e-08
47,0.0,0.0,0.0,0.0,0.0,1.7903104252833633,0.5172017776152368,0.00841548135803758,200.59918212890625,0.0,0.0,0,True,0.0,1e-07
48,0.0713518032561926,0.6416516215774296,0.26619711214810315,1.2182582335633494,0.26804123711340205,0.23347359909608995,0.9712619646990444,0.008876919007319406,206.45947265625,3.8903916086502646e-08,3.47845188168311e-08,20,False,3.8903916086502646e-08,3.47845188168311e-08
49,0.0,0.0,0.0,0.0,0.0,1.1189358207848297,0.0053370405814867974,0.010671151824916788,194.48753356933597,0.0,0.0,0,True,0.0,1e-07
50,0.0034926398529987576,0.014169110685982537,0.04234825821760994,0.0280854423870087,0.08247422680412371,0.4623872492238112,0.7403876216878182,0.009005376627166566,264.82647705078125,1.538961221381166e-07,1.5863635053624493e-07,8,False,1.538961221381166e-07,1.5863635053624493e-07
51,0.0696219755584473,0.04566246556781383,0.09647616613099128,0.017277416853337554,0.7216494845360825,1.4788637732385357,0.19577566053247697,0.0073175685864079465,247.28472900390625,4.2199900386517245e-07,1.0008830570860717e-07,53,False,4.2199900386517245e-07,1.0008830570860717e-07
52,0.017514237444342124,0.04593952252792682,0.06795524128404745,0.06899837364914899,0.25773195876288657,0.5779276011164723,0.7968157091681113,0.010314274610143993,226.439208984375,1.8611031064539718e-07,2.0067646354813585e-07,20,False,1.8611031064539718e-07,2.0067646354813585e-07
53,0.1148085281792598,0.8815993918494109,0.2930638745628473,1.3898595973565304,0.3917525773195876,0.6217582460075501,0.5087842037809964,0.008555247623953243,213.7967071533203,1.0471789364962981e-07,7.801550473732593e-08,26,False,1.0471789364962981e-07,7.801550473732593e-08
54,0.08454986283962036,0.12620669465034792,0.17449652543496116,0.1310632236224996,0.4845360824742268,0.6306614805155693,0.7639789084016607,0.007070837262677148,257.63766479492193,5.982974787047374e-07,2.0529012818884612e-07,31,False,5.982974787047374e-07,2.0529012818884612e-07
55,0.0009957621592213033,0.0033347281248201736,0.008049077453705533,0.005754764390766097,0.12371134020618554,0.21933391399714167,0.9201791315446136,0.008531766783573256,205.5087432861328,2.142349845002617e-08,1.5986126167631058e-08,11,False,2.142349845002617e-08,1.5986126167631058e-08
56,0.02747593528134845,0.05920953250560625,0.06198059819280932,0.07595882037424648,0.4432989690721649,1.4052731922524848,0.7981866219553709,0.008820106979647642,203.1072540283203,7.428702653812686e-08,5.7580448566634046e-08,30,False,7.428702653812686e-08,5.7580448566634046e-08
57,0.013390010026394008,0.014755406161235047,0.024977518703081125,0.010803151161778941,0.5360824742268041,2.00068040066468,0.2624059996294025,0.006510055619890771,252.5382843017578,1.1264911997514276e-07,3.605818194335595e-08,45,False,1.1264911997514276e-07,3.605818194335595e-08
58,0.07496981705290308,0.1418102702920324,0.10853839185271046,0.15959705400418608,0.6907216494845361,1.9639876464081036,0.8705028082837837,0.011518250773242485,247.1460723876953,1.5496474483829912e-07,1.2363818644502274e-07,47,False,1.5496474483829912e-07,1.2363818644502274e-07
59,0.1860549497056708,0.4443189545014007,0.3538692180676484,0.5622272904543894,0.5257731958762887,0.957564740346734,0.6997242439879657,0.008988997332777223,247.55430603027344,3.2008796641268703e-07,2.0864760416393637e-07,38,False,3.2008796641268703e-07,2.0864760416393637e-07
60,0.0001401370968032336,0.0008119790275187948,0.0019418997699876656,0.002374301901770021,0.07216494845360824,0.4430225931771062,0.4180293607573921,0.009929838489481351,200.8892517089844,5.72613159401121e-09,7.3397166760392666e-09,7,False,5.72613159401121e-09,7.3397166760392666e-09
61,0.0546798596228401,0.12755147499147745,0.12628443770036882,0.16891410172617494,0.4329896907216495,0.17857848650561714,0.16628587519288412,0.00821136510844753,241.57058715820312,1.8963149824687055e-07,1.4908649241219485e-07,25,False,1.8963149824687055e-07,1.4908649241219485e-07
62,0.0,0.0,0.0,0.0,0.0,0.8413449600205691,0.5885400722182533,0.0063259930498378615,180.4064483642578,0.0,0.0,0,True,0.0,1e-07
63,0.0,0.0,0.0,0.0,0.0,0.35447854957449665,0.8605138128957428,0.011342970647856259,256.3056640625,0.0,0.0,0,True,0.0,1e-07
64,0.0115552608051002,0.0367259466006691,0.08006144986390852,0.06213307287047301,0.14432989690721648,0.9206290542017715,0.796492363042353,0.010375000664325736,260.93746948242193,2.588141833105936e-07,1.9345154120883926e-07,13,False,2.588141833105936e-07,1.9345154120883926e-07
65,0.11630618575839324,0.16628468904879726,0.2014589289029312,0.17532827800681866,0.5773195876288659,1.095951536485395,0.9888758977669162,0.007122318042748913,270.8951416015625,6.081738005902991e-07,1.3245711670832614e-07,38,False,6.081738005902991e-07,1.3245711670832614e-07
66,0.11293718009263297,0.09524806956129676,0.185676380830261,0.03754133327514003,0.6082474226804123,1.3720818565914643,0.27492698339242,0.008876035493272429,275.42364501953125,6.821400995677268e-07,2.0745661918785213e-07,52,False,6.821400995677268e-07,2.0745661918785213e-07
67,0.04205997783099052,0.049023895218205486,0.08869169238274087,0.030529850660957064,0.4742268041237113,1.3620209791891973,0.9898314396220886,0.006778750783655441,196.6695709228516,3.1804692341732347e-07,8.344924111527276e-08,40,False,3.1804692341732347e-07,8.344924111527276e-08
68,0.03803682734156765,0.14244930654634053,0.11529913287912695,0.22934963893172486,0.32989690721649484,0.28355797309807906,0.7482303297547551,0.008858833094403723,241.33154296875,1.6507410691640955e-07,1.0261241849841981e-07,27,False,1.6507410691640955e-07,1.0261241849841981e-07
69,0.19851715899894093,0.15114402064716628,0.2962486834291889,0.07168130848282821,0.6701030927835051,0.9519144379757364,0.5891970667508564,0.009621477042046177,276.356689453125,9.159942113638377e-07,2.062897216561663e-07,58,False,9.159942113638377e-07,2.062897216561663e-07
70,0.0,0.0,0.0,0.0,0.0,0.7414119882219734,0.4778306927679864,0.009334814967106876,197.4940643310547,0.0,0.0,0,True,0.0,1e-07
71,0.16976731190856678,0.8403995097071706,0.3503708352155528,1.1808241247659153,0.4845360824742268,0.7102304229209612,0.8640684855133774,0.007093665249996164,234.61212158203125,5.246614019504328e-07,1.8043732290282663e-07,30,False,5.246614019504328e-07,1.8043732290282663e-07
