2021-01-07 23:32:22,063 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 48
2021-01-07 23:32:22,068 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 49
2021-01-07 23:32:22,074 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 5
2021-01-07 23:32:22,078 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 50
2021-01-07 23:32:22,083 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 51
2021-01-07 23:32:22,089 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 52
2021-01-07 23:32:22,094 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 53
2021-01-07 23:32:22,098 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 54
2021-01-07 23:32:22,103 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 55
2021-01-07 23:32:22,108 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 56
2021-01-07 23:32:22,112 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 57
2021-01-07 23:32:22,117 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 58
2021-01-07 23:32:22,125 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 59
2021-01-07 23:32:22,132 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 6
2021-01-07 23:32:22,139 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 60
2021-01-07 23:32:22,146 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 61
2021-01-07 23:32:22,152 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 62
2021-01-07 23:32:22,159 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 63
2021-01-07 23:32:22,165 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 64
2021-01-07 23:32:22,171 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 65
2021-01-07 23:32:22,176 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 66
2021-01-07 23:32:22,180 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 67
2021-01-07 23:32:22,185 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 68
2021-01-07 23:32:22,191 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 69
2021-01-07 23:32:22,196 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 7
2021-01-07 23:32:22,201 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 70
2021-01-07 23:32:22,205 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 71
2021-01-07 23:32:22,210 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 72
2021-01-07 23:32:22,215 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 73
2021-01-07 23:32:22,219 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 74
2021-01-07 23:32:22,224 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 75
2021-01-07 23:32:22,229 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 76
2021-01-07 23:32:22,234 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 77
2021-01-07 23:32:22,239 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 78
2021-01-07 23:32:22,244 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 79
2021-01-07 23:32:22,250 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 8
2021-01-07 23:32:22,257 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 80
2021-01-07 23:32:22,262 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 81
2021-01-07 23:32:22,268 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 82
2021-01-07 23:32:22,273 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 83
2021-01-07 23:32:22,280 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 84
2021-01-07 23:32:22,287 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 85
2021-01-07 23:32:22,296 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 86
2021-01-07 23:32:22,306 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 87
2021-01-07 23:32:22,313 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 88
2021-01-07 23:32:22,320 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 89
2021-01-07 23:32:22,330 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 9
2021-01-07 23:32:22,340 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 90
2021-01-07 23:32:22,346 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 91
2021-01-07 23:32:22,354 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 92
2021-01-07 23:32:22,359 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 93
2021-01-07 23:32:22,365 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 94
2021-01-07 23:32:22,372 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 95
2021-01-07 23:32:22,378 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 96
2021-01-07 23:32:22,383 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 14
2021-01-07 23:32:22,384 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 0
2021-01-07 23:32:22,391 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 1
2021-01-07 23:32:22,396 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 10
2021-01-07 23:32:22,400 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 11
2021-01-07 23:32:22,405 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 12
2021-01-07 23:32:22,410 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 13
2021-01-07 23:32:22,417 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 14
2021-01-07 23:32:22,425 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 15
2021-01-07 23:32:22,432 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 16
2021-01-07 23:32:22,438 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 17
2021-01-07 23:32:22,445 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 18
2021-01-07 23:32:22,451 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 19
2021-01-07 23:32:22,456 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 2
2021-01-07 23:32:22,460 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 20
2021-01-07 23:32:22,465 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 21
2021-01-07 23:32:22,469 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 22
2021-01-07 23:32:22,475 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 23
2021-01-07 23:32:22,483 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 24
2021-01-07 23:32:22,491 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 25
2021-01-07 23:32:22,497 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 26
2021-01-07 23:32:22,503 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 27
2021-01-07 23:32:22,510 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 28
