2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:01,717 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 86
2021-01-07 16:55:01,721 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 87
2021-01-07 16:55:01,726 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 88
2021-01-07 16:55:01,730 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 89
2021-01-07 16:55:01,735 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 9
2021-01-07 16:55:01,739 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 90
2021-01-07 16:55:01,744 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 91
2021-01-07 16:55:01,748 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 92
2021-01-07 16:55:01,754 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 93
2021-01-07 16:55:01,759 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 94
2021-01-07 16:55:01,764 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 95
2021-01-07 16:55:01,769 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 96
2021-01-07 16:55:01,774 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 22
2021-01-07 16:55:01,774 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 0
2021-01-07 16:55:01,780 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 1
2021-01-07 16:55:01,785 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 10
2021-01-07 16:55:01,790 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 11
2021-01-07 16:55:01,795 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 12
2021-01-07 16:55:01,800 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 13
2021-01-07 16:55:01,805 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 14
2021-01-07 16:55:01,810 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 15
2021-01-07 16:55:01,814 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 16
2021-01-07 16:55:01,819 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 17
2021-01-07 16:55:01,823 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 18
2021-01-07 16:55:01,827 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 19
2021-01-07 16:55:01,831 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 2
2021-01-07 16:55:01,836 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 20
2021-01-07 16:55:01,841 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 21
2021-01-07 16:55:01,846 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 22
2021-01-07 16:55:01,851 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 23
2021-01-07 16:55:01,855 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 24
2021-01-07 16:55:01,860 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 25
2021-01-07 16:55:01,865 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 26
2021-01-07 16:55:01,869 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 27
2021-01-07 16:55:01,875 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 28
2021-01-07 16:55:01,880 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 29
2021-01-07 16:55:01,885 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 3
2021-01-07 16:55:01,889 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 30
2021-01-07 16:55:01,894 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 31
2021-01-07 16:55:01,899 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 32
2021-01-07 16:55:01,904 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 33
2021-01-07 16:55:01,908 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 34
2021-01-07 16:55:01,913 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 35
2021-01-07 16:55:01,918 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 36
2021-01-07 16:55:01,923 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 37
2021-01-07 16:55:01,929 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 38
2021-01-07 16:55:01,935 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 39
2021-01-07 16:55:01,940 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 4
