INPUT_fuel_oxidizer_ratio,INPUT_acac_amount,INPUT_concentration,INPUT_anneal_temperature,sample,conductance_mean,conductance_std,conductance_mean_nz,conductance_std_nz,conductive_fraction,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
1.0674517008183622,0.6408553038760352,0.011161253506619652,253.3841552734375,29,0.1827708963845874,0.9639724276722728,0.2906356876935243,1.202621758816422,0.6288659793814433,1.2603137200112314e-07,1.0596645889404144e-07,33,False,1.2603137200112314e-07,1.0596645889404144e-07
1.46089427877499,0.6980747615101084,0.0064878662951265475,191.34103393554688,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,1e-07
0.1440203001906288,0.035815730840094935,0.01031120243161888,237.27679443359372,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,1e-07
1.3794401785290171,0.4209633525101907,0.008834437312906847,213.50131225585938,32,0.00495347534526497,0.007178511786608284,0.012986138067316272,0.0055481167192765754,0.38144329896907214,4.059018029108375e-08,1.3142561886401429e-08,27,False,4.059018029108375e-08,1.3142561886401429e-08
0.3319241836903281,0.64026652311587,0.010922764381737731,224.81103515625,33,0.003867810777124104,0.016460628250046818,0.05359680648300543,0.03300468338058556,0.07216494845360824,1.849891238803988e-07,1.3113402984429464e-07,7,False,1.849891238803988e-07,1.3113402984429464e-07
0.3273602467903798,0.6527667287596904,0.008966852488563805,206.2417297363281,34,0.0020655482653005428,0.00872036852766632,0.025044772716769068,0.0186154257784343,0.08247422680412371,1.1841564886619791e-07,1.0985326164824245e-07,7,False,1.1841564886619791e-07,1.0985326164824245e-07
0.998532232373164,0.6245860404443553,0.006643857418732775,251.3965759277344,35,0.11134659068428572,0.10720746296652807,0.18001032160626193,0.07887256325530702,0.6185567010309279,5.806680315557346e-07,2.244740176402334e-07,56,False,5.806680315557346e-07,2.244740176402334e-07
1.2199194589276987,0.2810854023223233,0.011163439834996907,210.8817443847656,36,0.0057756794473576,0.010468411155130444,0.018674696879789576,0.010651201961928541,0.30927835051546393,4.4941112467344044e-08,2.6768956940214028e-08,20,False,4.4941112467344044e-08,2.6768956940214028e-08
1.242606750860436,0.5445101016393356,0.010860779323445544,191.7434234619141,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,0.0,1e-07
1.072507278318951,0.4819598362249935,0.0076793006786465435,262.36358642578125,38,0.04044706561167778,0.05207358778401719,0.10324645695612483,0.02092965783780841,0.3917525773195876,4.160794202127269e-07,8.89348341738526e-08,32,False,4.160794202127269e-07,8.89348341738526e-08
1.2082375171287605,0.6429538994408515,0.0063936224564835565,262.9237060546875,39,0.0978797602021284,0.11756546660919776,0.18616346548247945,0.0992623529661198,0.5257731958762887,6.001912970601419e-07,1.5799664429794555e-07,39,False,6.001912970601419e-07,1.5799664429794555e-07
0.3147977153267825,0.06356256417961614,0.007593067343586433,259.38018798828125,40,0.09419990076605524,0.4773270326421753,0.2030531194290524,0.6848511917587456,0.4639175257731959,1.6178823380560779e-07,1.6645481112653e-07,33,False,1.6178823380560779e-07,1.6645481112653e-07
0.4714884432296481,0.5567277979093419,0.0061726936374323395,245.83518981933597,41,0.10993346087251757,0.3309500873331692,0.1974730686043371,0.4236247802891516,0.5567010309278351,2.877733913293547e-07,2.2488356712955756e-07,42,False,2.877733913293547e-07,2.2488356712955756e-07
1.6701389029788265,0.6745862710558332,0.00936318541639339,213.9300842285156,42,0.013528764562180023,0.021006051328969662,0.038596769486219484,0.01706834049802151,0.3505154639175257,1.1877603560950336e-07,5.285809224628138e-08,30,False,1.1877603560950336e-07,5.285809224628138e-08
0.2852713641439133,0.00645709801970881,0.011828791835714869,238.73486328125,43,0.026801914812103957,0.05990137649646295,0.08964778402669253,0.0797987061297169,0.29896907216494845,1.9456227516026632e-07,1.6964745817369234e-07,24,False,1.9456227516026632e-07,1.6964745817369234e-07
1.488420661973648,0.42112756011327457,0.009389331405494855,274.64224243164057,44,0.04218388571127952,0.04049766386474859,0.06935316803379853,0.02849728597862328,0.6082474226804123,2.039923536310188e-07,5.586863908515924e-08,46,False,2.039923536310188e-07,5.586863908515924e-08
0.7809437389433864,0.6704617187127961,0.010766898902664229,249.60479736328125,45,0.1995539042953904,1.2779833631324071,0.4207984503620188,1.830549053751369,0.4742268041237113,3.1693098054412505e-07,2.340495910433973e-07,36,False,3.1693098054412505e-07,2.340495910433973e-07
1.8136629481465736,0.9107683610183774,0.010458892044832252,264.76516723632807,46,0.07805146180256209,0.4704198607644686,0.2442255417693072,0.8073752257143553,0.31958762886597936,7.216163215331326e-08,4.2432911027303096e-08,23,False,7.216163215331326e-08,4.2432911027303096e-08
0.2529727121188095,0.11942516341163463,0.006728260387925812,245.66094970703125,47,0.08305458056478066,0.10210136417517253,0.14386239847828078,0.09648363232702176,0.5773195876288659,3.619766380943439e-07,1.860778700143232e-07,44,False,3.619766380943439e-07,1.860778700143232e-07
1.1692402441089198,0.4098287660131987,0.009758697470529308,219.53761291503903,48,0.04348355063112296,0.0337895559202521,0.05549874225288063,0.02811379061250071,0.7835051546391752,1.4204856277503462e-07,7.488435390175585e-08,68,False,1.4204856277503462e-07,7.488435390175585e-08
