Unnamed: 0,Current,Voltage,sample,position
1,0.0002,10.0021,25,66
2,0.0004,10.0021,25,66
3,0.0006,10.0019,25,66
4,0.0008,10.0019,25,66
5,0.001,10.0019,25,66
0,0.0,3.98003,25,67
1,0.0002,10.0022,25,67
2,0.0004,10.0021,25,67
3,0.0006,10.002,25,67
4,0.0008,10.0019,25,67
5,0.001,10.002,25,67
0,0.0,2.69405,25,68
1,0.0002,10.002,25,68
2,0.0004,10.002,25,68
3,0.0006,10.0019,25,68
4,0.0008,10.0019,25,68
5,0.001,10.0019,25,68
0,0.0,0.0905299,25,69
1,0.0002,0.0178981,25,69
2,0.0004,0.035381300000000004,25,69
3,0.0006,0.052683400000000005,25,69
4,0.0008,0.07013319999999999,25,69
5,0.001,0.08746389999999998,25,69
0,0.0,3.9455400000000003,25,7
1,0.0002,10.0019,25,7
2,0.0004,10.0019,25,7
3,0.0006,10.0019,25,7
4,0.0008,10.0019,25,7
5,0.001,10.002,25,7
0,0.0,0.0006628039999999999,25,70
1,0.0002,10.0024,25,70
2,0.0004,10.0025,25,70
3,0.0006,10.0023,25,70
4,0.0008,10.0023,25,70
5,0.001,10.0023,25,70
0,0.0,0.000231266,25,71
1,0.0002,0.00461102,25,71
2,0.0004,0.00902891,25,71
3,0.0006,0.013334799999999999,25,71
4,0.0008,0.017693,25,71
5,0.001,0.0220561,25,71
0,0.0,0.000112057,25,72
1,0.0002,0.00212908,25,72
2,0.0004,0.00408173,25,72
3,0.0006,0.00607491,25,72
4,0.0008,0.00799656,25,72
5,0.001,0.00995159,25,72
0,0.0,4.41354,25,73
1,0.0002,10.0019,25,73
2,0.0004,10.0018,25,73
3,0.0006,10.0017,25,73
4,0.0008,10.0018,25,73
5,0.001,10.0018,25,73
0,0.0,0.000114441,25,74
1,0.0002,0.0009393689999999999,25,74
2,0.0004,0.00174522,25,74
3,0.0006,0.00252724,25,74
4,0.0008,0.00335217,25,74
5,0.001,0.00415802,25,74
0,0.0,4.16667,25,75
1,0.0002,10.0018,25,75
2,0.0004,10.0016,25,75
3,0.0006,10.0016,25,75
4,0.0008,10.0016,25,75
5,0.001,10.0016,25,75
0,0.0,0.00450611,25,76
1,0.0002,0.177808,25,76
2,0.0004,0.352657,25,76
3,0.0006,0.526211,25,76
4,0.0008,0.701134,25,76
5,0.001,0.874598,25,76
0,0.0,4.3094,25,77
1,0.0002,10.0023,25,77
2,0.0004,10.0022,25,77
3,0.0006,10.002,25,77
4,0.0008,10.002,25,77
5,0.001,10.002,25,77
0,0.0,-1.78774,25,78
1,0.0002,-1.38239,25,78
2,0.0004,-0.982916,25,78
3,0.0006,-0.57411,25,78
4,0.0008,-0.142629,25,78
5,0.001,10.0019,25,78
0,0.0,0.000522137,25,79
1,0.0002,0.0183225,25,79
2,0.0004,0.0362134,25,79
3,0.0006,0.0539684,25,79
4,0.0008,0.0718498,25,79
5,0.001,0.0895929,25,79
0,0.0,4.21941,25,8
1,0.0002,10.002,25,8
2,0.0004,10.0019,25,8
3,0.0006,10.0018,25,8
4,0.0008,10.0018,25,8
5,0.001,10.0019,25,8
0,0.0,0.02074,25,80
1,0.0002,10.0021,25,80
2,0.0004,10.002,25,80
3,0.0006,10.0019,25,80
4,0.0008,10.0019,25,80
5,0.001,10.0019,25,80
0,0.0,0.07536169999999999,25,81
1,0.0002,10.0022,25,81
2,0.0004,10.0021,25,81
3,0.0006,10.0019,25,81
4,0.0008,10.002,25,81
5,0.001,10.0019,25,81
0,0.0,0.000114441,25,82
1,0.0002,0.000455379,25,82
2,0.0004,0.00074625,25,82
3,0.0006,0.00102997,25,82
