2021-01-07 23:23:12,750 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 91
2021-01-07 23:23:12,755 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 92
2021-01-07 23:23:12,759 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 93
2021-01-07 23:23:12,764 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 94
2021-01-07 23:23:12,769 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 95
2021-01-07 23:23:12,774 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 25, position 96
2021-01-07 23:23:12,779 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 22
2021-01-07 23:23:12,780 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 0
2021-01-07 23:23:12,785 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 1
2021-01-07 23:23:12,790 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 10
2021-01-07 23:23:12,795 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 11
2021-01-07 23:23:12,799 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 12
2021-01-07 23:23:12,804 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 13
2021-01-07 23:23:12,809 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 14
2021-01-07 23:23:12,813 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 15
2021-01-07 23:23:12,818 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 16
2021-01-07 23:23:12,825 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 17
2021-01-07 23:23:12,831 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 18
2021-01-07 23:23:12,838 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 19
2021-01-07 23:23:12,844 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 2
2021-01-07 23:23:12,849 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 20
2021-01-07 23:23:12,854 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 21
2021-01-07 23:23:12,860 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 22
2021-01-07 23:23:12,865 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 23
2021-01-07 23:23:12,871 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 24
2021-01-07 23:23:12,882 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 25
2021-01-07 23:23:12,889 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 26
