sample,position,conductance
13,62,0.818742369613523
13,63,0.0
13,64,0.0
13,65,0.0
13,66,0.0
13,67,0.0997118896172288
13,68,0.2710002130061673
13,69,0.09996615431632433
13,7,0.22073642084723044
13,70,0.03994684672574671
13,71,0.04463728744560666
13,72,0.015922500187373703
13,73,0.0
13,74,0.0
13,75,0.0
13,76,0.0
13,77,0.0
13,78,0.0
13,79,0.006875398422892918
13,8,0.26884072270223935
13,80,0.6638058530986266
13,81,0.3323534998236033
13,82,0.0
13,83,0.0
13,84,0.0
13,85,0.0
13,86,0.0
13,87,0.0
13,88,0.0
13,89,0.0
13,9,0.0
13,90,0.0
13,91,0.0
13,92,0.0
13,93,0.0
13,94,0.0
13,95,0.0
13,96,0.0
47,0,0.0
47,1,0.0
47,10,0.0
47,11,0.0
47,12,0.17071813938884872
47,13,0.13716489623852796
47,14,0.28524318040604274
47,15,0.0
47,16,0.11214287899927537
47,17,0.10536185739709099
47,18,0.0
47,19,0.0
47,2,0.0
47,20,0.0
47,21,0.17911251285132268
47,22,0.1632296944475367
47,23,0.11355689685176883
47,24,0.06138686700767653
47,25,0.0010742810891767635
47,26,0.20824266100801933
47,27,0.09550201212507185
47,28,0.08107205516327937
47,29,0.0
47,3,0.0
47,30,0.0
47,31,0.0
47,32,0.16555841078116365
47,33,0.1506419337001177
47,34,0.09567635804389407
47,35,0.0
47,36,0.04610497589269606
47,37,0.11141087356120015
47,38,0.04779676705398891
47,39,0.07871373658155685
47,4,0.0
47,40,0.0
47,41,0.0
47,42,0.0
47,43,0.18025629612710325
47,44,0.12458677237320354
47,45,0.1283952283931007
47,46,0.0717832281871407
47,47,0.07424200123174902
47,48,0.2140263056674776
47,49,0.06490159365399632
47,5,0.15343683159080235
47,50,0.10402913766978295
47,51,0.040815918371428506
47,52,0.0
47,53,0.0
47,54,0.0
47,55,0.14711699037308443
47,56,0.10843604550472172
47,57,0.054691676649525366
47,58,0.08652870982417918
47,59,0.07724932799981901
47,6,0.14377410327912063
47,60,0.05161687082675294
47,61,0.03424038811773419
47,62,0.0
47,63,0.0
47,64,0.0
47,65,0.0
47,66,0.0
47,67,0.09509676979367938
47,68,0.14281617793100362
47,69,0.08498849437904306
47,7,0.130194352455418
47,70,0.06700494912912466
47,71,0.11680506119667446
47,72,0.019218497111604012
47,73,0.0
47,74,0.0
47,75,0.0
47,76,0.0
47,77,0.0
47,78,0.0
47,79,0.0
47,8,0.14612840616181738
47,80,0.0
47,81,0.03822182148765826
47,82,0.0
47,83,0.0
47,84,0.0
47,85,0.0
47,86,0.0
47,87,0.0
47,88,0.0
47,89,0.0
47,9,0.0
47,90,0.0
47,91,0.0
47,92,0.0
47,93,0.0
47,94,0.0
47,95,0.0
47,96,0.0
40,0,0.0
40,1,0.0
40,10,0.0
40,11,0.0
40,12,0.0
40,13,0.0
40,14,0.0
40,15,0.0
40,16,0.0
40,17,0.0
40,18,0.0
40,19,0.0
40,2,0.0
40,20,0.0
40,21,0.0
40,22,0.0
40,23,0.0
40,24,0.0
40,25,0.0
40,26,0.0
40,27,0.0
40,28,0.0
40,29,0.0
40,3,0.0
40,30,0.0
40,31,0.0
40,32,0.10023921372360751
40,33,0.11369756836634781
40,34,0.1178222079713456
40,35,0.11421504081556064
40,36,0.07955610873569825
40,37,0.05746400588070216
40,38,0.08202984491847665
40,39,0.07271166899196849
40,4,0.0
40,40,0.05994052102099085
40,41,0.05467646005382739
40,42,0.07382291212194363
40,43,0.0
40,44,0.0982138685558899
40,45,0.16162125513450518
40,46,0.0
40,47,0.0
40,48,0.0
40,49,0.0
40,5,0.0
40,50,0.0
40,51,0.10327161526543309
40,52,0.07015576684913512
40,53,0.0834591231224156
40,54,0.0
40,55,0.0
40,56,0.08068841511469221
40,57,0.0
40,58,0.09862644360934453
40,59,0.10471925552986855
40,6,0.07047919509537293
40,60,0.09826007378068195
40,61,0.09262163609133833
40,62,0.07861015891436675
40,63,0.11459399552019325
40,64,0.06661113835295203
40,65,0.0
40,66,0.0
40,67,0.0
40,68,0.0
40,69,0.0
40,7,0.0
40,70,0.11759576137837684
40,71,0.08795704127842792
40,72,0.1127847654205776
40,73,0.06869477522750603
40,74,0.04485060439873583
40,75,0.0
40,76,0.0
40,77,0.0
40,78,0.0
40,79,0.0
40,8,0.0
40,80,0.0
40,81,0.07300598492634996
40,82,0.0
40,83,0.0
40,84,0.0
40,85,0.0
40,86,0.0
40,87,0.0
40,88,0.0
40,89,0.0
40,9,0.0
40,90,0.0
40,91,0.0
