sample,position,xrf_avg,xrf_std,cond,cond_nan,cond_nan_pass,xrf_avg_rel,xrf_avg_rel_pass,condxrf,condxrf_pass
0,44,402870.5370037103,436099.8981867763,0.07651641320786971,0.07651641320786971,False,,False,1.8992804432150626e-07,False
0,45,247683.7965740184,97454.19791794727,0.05804699476403667,0.05804699476403667,True,247683.7965740184,True,2.3435927407019447e-07,True
0,46,221680.10842275977,37756.33009967748,0.06307098386950574,0.06307098386950574,True,221680.10842275977,True,2.8451350154171197e-07,True
0,47,216632.2291097335,38528.70218508801,0.0567334431449649,0.0567334431449649,True,216632.2291097335,True,2.618882858663979e-07,True
0,48,212606.3676153657,38812.0070307457,0.04112576977159569,0.04112576977159569,True,212606.3676153657,True,1.9343620905088736e-07,True
0,49,202528.38321224632,37683.08598443658,0.0614137470900302,0.0614137470900302,True,202528.38321224632,True,3.0323526073710683e-07,True
0,50,194778.82201337503,35577.74570697822,0.05435836857179286,0.05435836857179286,True,194778.82201337503,True,2.790774069270231e-07,True
0,51,188708.92488169024,25220.917751637706,0.059641184998776485,0.059641184998776485,True,188708.92488169024,True,3.160485654622224e-07,True
0,52,183438.86778199906,25761.502771073658,0.04034981909735031,0.04034981909735031,True,183438.86778199906,True,2.199633021356331e-07,True
0,53,221564.57597369407,207912.31822080206,0.0,,False,,False,,False
0,54,293239.12995178736,444491.00862112944,0.0,,False,,False,,False
0,55,417098.80246172985,460860.81907107844,0.01662840885499353,0.01662840885499353,False,,False,3.986683432522979e-08,False
0,56,313199.5823057609,278281.51356217475,0.048633683557225985,0.048633683557225985,True,313199.5823057609,True,1.552801673590592e-07,True
0,57,225546.0019107289,62634.93043229287,0.020905962263961592,0.020905962263961592,True,225546.0019107289,True,9.269045820743997e-08,True
0,58,225377.14679286355,52314.71217067258,0.04108551571522442,0.04108551571522442,True,225377.14679286355,True,1.822967248448873e-07,True
0,59,218374.10295718626,42227.96465483137,0.04803846590943403,0.04803846590943403,True,218374.10295718626,True,2.199824304205719e-07,True
0,60,209398.12037592471,37381.853063806826,0.043371889290650265,0.043371889290650265,True,209398.12037592471,True,2.0712644990693476e-07,True
0,61,201097.55826612448,36498.08682773556,0.033716277190281,0.033716277190281,True,201097.55826612448,True,1.6766129574612847e-07,True
0,62,194138.94998778013,40422.09621568402,0.026908739739553364,0.026908739739553364,True,194138.94998778013,True,1.3860556957399382e-07,True
0,63,193196.916172321,50522.5478849361,0.02695001398031974,0.02695001398031974,True,193196.916172321,True,1.3949505258293985e-07,True
0,64,225137.19478326556,199854.95172755414,0.0,,False,,False,,False
0,65,164287.14257148563,276587.0988668273,0.0,,False,,False,,False
0,66,294563.3095603101,393826.81209316564,0.0,,False,,False,,False
0,67,335266.2800773177,356271.55192478455,0.009637742456859085,0.009637742456859085,False,,False,2.8746530831064998e-08,False
0,68,239792.0415916816,211773.521733448,0.006810545107517222,0.006810545107517222,True,239792.0415916816,True,2.840188132312678e-08,True
0,69,188548.95687529157,75945.10938020587,0.004511625992908172,0.004511625992908172,False,,False,2.392814082706495e-08,False
0,70,191748.31700326593,58178.465030589636,0.015008827978204946,0.015008827978204946,False,,False,7.82735838977367e-08,False
0,71,195907.48516963265,40283.29118607187,0.0739121790271235,0.0739121790271235,False,,False,3.7728103631734296e-07,False
0,72,194832.14468217452,39632.52770321612,0.00509884771868812,0.00509884771868812,False,,False,2.617046446317039e-08,False
0,73,187660.245728632,53883.74776676003,0.005060758838014343,0.005060758838014343,False,,False,2.696766605183127e-08,False
0,74,214303.80590548555,168679.1558582965,0.0,,False,,False,,False
0,75,229411.89539869802,256099.0993192341,0.0,,False,,False,,False
0,76,151694.10562331975,229250.84182265546,0.0,,False,,False,,False
0,77,294438.8899997777,352702.2491841892,0.0,,False,,False,,False
0,78,293239.12995178736,324426.40923509985,0.0,,False,,False,,False
0,79,205043.4357572929,174204.01690580632,0.0,,False,,False,,False
0,80,228052.1673443089,184108.74686281587,0.0,,False,,False,,False
0,81,238681.1526583572,184277.37454451836,0.0,,False,,False,,False
0,82,245444.2444844364,187975.19696039602,0.0,,False,,False,,False
0,83,264204.9367904196,244806.27079475683,0.0,,False,,False,,False
0,84,281561.4654846808,309227.0244518892,0.0,,False,,False,,False
0,85,192130.46279632952,264310.63831336284,0.0,,False,,False,,False
0,86,228034.3931213757,277490.594629648,0.0,,False,,False,,False
0,87,186069.4527761114,179254.27330788737,0.0,,False,,False,,False
0,88,198573.61860961132,192782.36631953547,0.0,,False,,False,,False
0,89,203754.80459463652,197507.8890296189,0.0,,False,,False,,False
0,90,204696.83841009566,202576.6883729338,0.0,,False,,False,,False
0,91,219671.62123130925,259522.4290814946,0.0,,False,,False,,False
0,92,110200.18218578502,113225.65412329492,0.0,,False,,False,,False
