sample,position,xrf_avg,xrf_std
47,72,343424.64840365254,178508.16462346006
47,73,456077.673354218,225125.54314991614
47,74,307147.45939700946,274636.71539046837
47,75,116270.07931746982,154170.4289152414
47,76,340171.96560687857,424183.12398500444
47,77,440240.8407207447,382913.5921611865
47,78,475922.5932591259,267744.7161651536
47,79,480481.68144148943,236597.53290487448
47,80,400151.0808949321,192393.95070392257
47,81,317580.92825879256,155626.5554510454
47,82,317936.4127174564,150688.43744142173
47,83,383336.6660001332,230888.25806554023
47,84,258783.79879579638,260255.0745592671
47,85,212855.20673643047,281297.40999539563
47,86,303619.276144771,319886.3033212481
47,87,347077.2512164233,309682.81971845805
47,88,327214.55708858225,257631.270653661
47,89,320638.0946033015,214174.13772223992
47,90,344064.52042924735,220017.32132195667
47,91,303237.1303517074,250096.2228609333
47,92,101997.3783021173,57495.21279330307
47,93,151418.60516785528,201711.49274443128
47,94,186673.7763558399,245760.80353878718
47,95,198520.2959408118,222195.04583144936
47,96,219636.07278544287,235285.6431538039
40,0,168695.14985891705,226233.48468660034
40,1,260694.52776111444,309913.1745058678
40,2,288999.9777822213,287780.9807102199
40,3,298260.3479304139,275282.4492089723
40,4,318425.2038481192,293398.7956551838
40,5,239072.1855628874,338662.43059030146
40,6,343122.4866137883,364864.4816061803
40,7,361847.6304739051,290288.7583149163
40,8,363865.00477682234,256390.24336736565
40,9,322611.03334888566,231443.04702742305
40,10,356230.97602701676,241528.98755128196
40,11,355768.8462307538,268638.200370013
40,12,218614.05496678437,349230.0928998158
40,13,370485.9028194361,428297.20897798095
40,14,367828.65649092395,315374.75022413634
40,15,293114.710391255,165482.10247877956
40,16,221102.4461774311,104053.43972972459
40,17,182070.25261614335,86039.24494025175
40,18,244786.59823590828,120024.18762525317
40,19,252553.9336577128,118230.42681711502
40,20,255619.9871136883,209025.83579806832
40,21,146148.5480681641,242818.02884447953
40,22,349992.2237774666,444920.8940081332
40,23,429194.1611677664,417345.1428854177
40,24,292039.36990379693,174875.31113410858
40,25,266462.26310293487,142417.64189072052
40,26,212153.12493056932,88857.05680989547
40,27,206429.8251460818,92882.75849963816
40,28,260650.09220378133,112400.15606211548
40,29,264595.9696949498,106608.44822522798
40,30,216099.00242173776,78097.3314840599
40,31,310968.91732764547,284203.077864541
40,32,237836.8770690306,416460.3324092242
40,33,414352.68501855177,464268.6975234719
40,34,453864.78259903565,328312.2469142416
40,35,337194.78326556896,147996.00712530164
40,36,307351.86296074104,135588.06606636022
40,37,264853.6959274811,105690.56711462748
40,38,251931.83585505112,97780.60131857544
40,39,265742.4070741406,90908.76317338954
40,40,254713.50174409553,88849.5848079455
40,41,225368.25968139694,71596.31185402759
40,42,293932.32464618183,163185.4989053445
40,43,328467.6398053722,544998.3373670677
40,44,518278.56650892034,535240.3951924166
40,45,550387.7002377302,317745.9552391578
40,46,465631.31818080816,228372.13880594695
40,47,368468.5285165188,171321.76331279182
40,48,305147.8593170254,130409.75467590296
40,49,307298.54029194155,121639.46823687328
40,50,298100.3799240151,111507.70916779064
40,51,245257.61514363784,99052.41547128487
40,52,225181.63034059844,72885.15441200044
40,53,313563.95387589134,156198.9129479964
40,54,250483.2366859961,460452.28308408766
40,55,531662.5563776133,574727.7033921393
40,56,626559.1326179208,443957.4653343825
40,57,457446.2885200737,303730.0586833429
40,58,351369.726054789,181917.03480770136
40,59,346535.137416961,148989.00482408144
40,60,358897.1094669954,130738.4547606326
40,61,347148.34810815606,137040.5284787082
40,62,300419.91601679655,151665.6810207641
40,63,298109.2670354817,151708.580006252
40,64,372823.21313515067,192443.76034452693
40,65,121015.79684063183,154958.7948579392
40,66,301450.82094692165,447478.5411915396
40,67,463533.9598746917,514319.84436003177
40,68,504094.7366082338,469384.8476486747
40,69,480277.2778777577,365921.06370805716
40,70,427487.83576618,201893.98941779856
40,71,419782.71012464166,155062.53632339725
40,72,387087.02703903656,149179.4416837374
40,73,340705.1922948742,158860.58054232926
40,74,339301.0286831522,158565.16772914235
40,75,366779.9773378657,195969.3791793015
40,76,121362.39418782906,181932.39423794337
40,77,242902.53060499005,403955.2934806387
40,78,405030.1050900931,501716.0473922467
40,79,451696.32740118634,438117.7152347152
40,80,475042.76922393293,344779.22800661623
40,81,490195.29427447834,278951.9167184893
40,82,407198.56028794235,213779.01172067184
40,83,335746.184096514,173626.14684286565
40,84,334955.23117598693,217848.88982221836
40,85,94665.51134217599,23618.484811767208
40,86,130320.60254615739,207013.4688312047
40,87,213672.82099135724,325613.2039710504
40,88,318736.2527494501,375750.3886441036
40,89,372956.5198071496,345256.25613441446
40,90,338874.4473327556,281187.1624812826
40,91,286351.6185651758,240813.64534280973
40,92,94629.96289630959,22743.272947803936
40,93,89982.0035992801,18027.478775580305
40,94,106956.38650047765,118549.90313964036
40,95,164544.86880401694,227996.1989648236
40,96,188415.65020329264,239935.47307619645
49,0,202243.99564531533,305654.01472057926
49,1,286973.7163678375,346732.01705810276
49,2,286964.82925637084,285375.9361317472
49,3,294101.17976404715,278090.51646948385
49,4,273332.0002666133,256886.5517265678
49,5,188895.5542224888,292931.8192431913
49,6,309769.15727965505,375982.89339160634
49,7,319856.0287942411,304014.9957382358
49,8,259032.637916861,164428.0303257629
49,9,227430.0695416471,49987.96305715708
49,10,252296.2074251815,136710.2811496749
49,11,271785.64287142566,189153.1280495986
49,12,155693.30578328774,240357.2429274634
49,13,279668.51074229594,350953.1192419435
49,14,286333.8443422425,272000.2805768798
49,15,219653.84700837597,82713.84796209267
49,16,211806.5275833721,30604.179697793064
49,17,211779.86624897234,33000.93355864127
49,18,205621.09800262158,34053.418903028876
49,19,213148.48141482807,61951.06791465487
49,20,237890.1997378301,149910.37834790224
49,21,93110.26683552176,13998.670382739705
49,22,250038.88111266633,359635.10328917776
49,23,319358.35055211175,353076.5613649047
49,24,231304.8501410828,129451.64546975885
49,25,206927.5033882112,28798.00421357124
49,26,209184.8297007264,29246.572427616058
49,27,213379.54631295952,34469.04877756108
49,28,210624.5417583149,42498.28411549571
49,29,207905.08564953666,49314.07142548219
49,30,213361.77209002635,83228.96658503546
49,31,242831.43371325725,215324.79357381762
49,32,92879.20193739027,14717.963518369314
49,33,324255.1489702059,461761.9245851632
49,34,378786.46492923633,437763.5875314189
49,35,210304.60574551747,31913.58386633371
49,36,211708.76935723957,29895.93916179287
49,37,214037.19256148758,30700.68574172678
49,38,218418.5385145192,35094.353618358335
49,39,218231.90917372075,40456.04465677106
49,40,215574.66284520866,47093.830892364844
49,41,208962.65191406157,53648.64847333524
49,42,260952.2539936456,226296.16424117456
49,43,92541.49170165963,14089.802645857539
49,44,348099.2690350818,495269.24272918317
49,45,409526.9834921904,469343.6840015672
49,46,223697.48272567696,92041.98359049595
49,47,212917.41651669654,32497.3560266002
49,48,220329.26747983726,31236.504036280694
49,49,225652.647248328,32474.025776940434
49,50,218880.66831078217,32397.6159350901
49,51,209149.28125486002,30802.84116266295
49,52,206065.45357595137,33437.225138413996
49,53,280068.4307582927,253298.57237922747
49,54,92799.21793419089,13431.851026435068
49,55,264862.58303894766,420507.01381779014
49,56,401786.3094047856,453828.42438215634
49,57,318931.76920171507,281530.7594882032
49,58,229509.6536248305,71708.93989797277
49,59,227687.7957741784,37658.13207704562
49,60,229091.9593859005,33016.804424024296
49,61,222195.5608878223,36179.38166232247
49,62,217707.56959719158,45398.02029218745
49,63,243462.41862738552,156452.37884928175
49,64,299877.8022173342,297856.7713319081
49,65,94114.51043124705,13830.527067219014
49,66,138070.1637450287,239403.88053514683
49,67,259379.23526405825,369016.1236809027
49,68,340607.43406874174,362793.32605166134
49,69,316354.5068764024,291294.05734269397
49,70,270950.2543935656,208902.3268462439
49,71,223377.54671287956,84283.37105419883
49,72,227741.118442978,115026.69908782923
49,73,261369.9482325756,192341.8134738443
49,74,291621.6756648669,283219.05981732183
49,75,252056.25541558347,321199.24799522624
49,76,90257.50405474457,14071.735664313013
49,77,116314.5148748028,182853.00542030635
49,78,190139.74982781213,289566.64739153424
49,79,245693.08360550104,315260.3096471361
49,80,254553.53373769688,289187.416357022
49,81,258703.814792597,267540.0441104367
49,82,244342.24266257856,249236.25863396897
49,83,224239.59652513935,248449.50120557903
49,84,207718.4563087382,277731.8306768909
49,85,88622.27554489099,13792.545039663974
49,86,86009.4647737119,13222.893007615685
49,87,106920.83805461127,116832.78906170494
49,88,164002.75500455458,237456.265120129
49,89,203737.03037170338,283924.8802293675
49,90,186824.85725077204,257162.60484340994
49,91,132329.089737608,185065.04359256482
49,92,88551.17865315825,13395.69260703404
49,93,86995.934146504,13194.155392435701
49,94,85769.51276411381,13387.494684836875
49,95,84623.075384923,13217.51618650253
49,96,85636.20609211488,12909.59321441144
12,0,317625.36381612555,384733.0683993405
12,1,318709.5914150503,334117.6726814179
12,2,299024.63951654104,266631.9345944323
12,3,279544.0911817636,235991.44261588468
12,4,256944.16672221106,231739.38646999834
12,5,398426.98127041245,441631.1938189307
12,6,325570.44146726205,291092.73974272964
12,7,274860.58343886764,156877.30846420728
